,country,depression_rate,corruption_score,average_temperature,gini,unemployment_rate,family_avg_size,Public services index,democracy_score,crime index,peace_ranking,litracy_rate,gender_equality,education,health,Air Quality
29,Colombia,4.7,39.0,25.0,51.3,15.0,3.53,6.3,7.04,7.66,144.0,94.58,0.725,1.0,0.975,1
30,Costa Rica,4.7,54.0,24.85,48.2,17.4,3.46,4.4,8.16,4.99,38.0,97.65,0.786,1.0,0.973,0
31,Croatia,5.1,50.0,11.81,29.7,7.5,2.8,3.4,6.5,5.06,15.0,99.27,0.733,1.0,0.978,0
32,Cyprus,5.1,52.0,18.91,32.7,7.6,2.75,3.6,7.56,4.19,67.0,99.06,0.707,1.0,0.96,1
33,Czech Republic,5.2,,8.61,25.0,2.5,2.4,,7.67,4.63,8.0,,0.711,1.0,0.978,1
34,Denmark,5.0,90.0,8.86,28.2,5.6,,1.7,9.15,3.86,4.0,99.0,0.768,1.0,0.964,0
35,Dominican Republic,4.7,32.0,24.51,41.9,6.1,3.48,,6.32,5.15,82.0,92.47,0.699,1.0,0.98,0
36,Ecuador,,36.0,21.39,45.7,6.1,3.78,6.3,6.13,6.25,79.0,94.52,0.739,1.0,0.968,1
37,Egypt,3.5,30.0,23.14,31.5,7.8,4.13,5.0,2.93,5.16,126.0,75.84,0.639,0.97,0.968,1
38,El Salvador,4.4,33.0,25.24,38.8,0.1,4.07,6.5,5.9,5.94,114.0,87.65,0.738,0.99,0.98,1
39,Estonia,5.9,74.0,6.33,30.3,6.8,2.3,2.2,7.84,3.6,33.0,99.82,0.733,1.0,0.975,0
40,Ethiopia,4.7,38.0,23.37,35.0,2.3,4.61,8.6,3.38,4.79,149.0,49.03,0.691,0.85,0.971,2
41,Finland,5.6,87.0,2.43,27.3,7.8,1.93,1.3,9.2,2.71,14.0,100.0,0.861,1.0,0.97,0
42,France,4.8,72.0,11.64,32.4,8.0,2.22,1.5,7.99,5.66,65.0,99.0,0.784,1.0,0.97,1
43,French Guiana,,,,,,3.45,,,,,,,,,0
44,Gabon,4.3,29.0,25.19,38.0,20.4,4.1,6.7,3.54,4.9,76.0,83.24,,,,3
45,Gambia,3.9,34.0,,35.9,10.2,8.23,7.7,4.49,,45.0,55.57,0.644,0.89,0.968,0
46,Georgia,5.0,56.0,9.03,35.9,18.5,3.34,4.1,5.31,2.96,95.0,99.76,0.732,1.0,0.977,1
47,Germany,5.2,79.0,9.6,31.9,3.8,1.91,1.7,8.67,4.9,16.0,99.0,0.796,1.0,0.972,1
48,Ghana,4.2,43.0,27.66,43.5,4.2,3.49,7.1,6.5,6.01,40.0,76.58,0.666,0.95,0.978,1
49,Gibraltar,,,,,6.4,,,,,,80.0,,,,0
50,Greece,5.7,52.0,14.06,32.9,16.3,2.44,4.3,7.39,4.93,53.0,95.29,0.689,0.99,0.966,0
51,Grenada,4.7,52.0,26.49,,22.9,,4.1,,3.05,,96.0,,,,0
52,Guadeloupe,,,,,,2.3,,,,,,,,,0
53,Guam,,,27.81,,5.4,,,,,,99.79,,,,0
54,Guatemala,3.7,24.0,23.66,48.3,2.2,4.81,6.9,4.97,6.48,106.0,79.07,0.655,0.97,0.979,0
55,Honduras,4.0,23.0,24.72,48.2,11.0,4.47,7.3,5.36,6.98,117.0,88.42,0.716,1.0,0.964,0
56,Hong Kong,,76.0,,,5.8,2.83,,5.57,,,93.5,,,,1
57,Hungary,5.1,42.0,11.51,29.6,4.3,2.6,3.1,6.56,4.5,13.0,99.38,0.688,0.99,0.98,0
58,Iceland,4.1,74.0,1.83,26.1,5.5,,0.9,9.37,3.39,1.0,99.0,0.892,1.0,0.964,0
59,India,4.5,40.0,24.84,35.7,4.7,4.57,7.6,6.61,5.53,135.0,72.23,0.625,0.96,0.937,2
60,Indonesia,3.7,34.0,25.95,38.2,4.3,3.86,6.2,6.3,6.38,47.0,95.44,0.688,0.97,0.971,1
61,Iran,4.9,25.0,18.32,42.0,9.7,,4.4,2.2,7.1,141.0,87.17,0.582,0.95,0.963,2
62,Iraq,3.7,23.0,22.97,29.5,13.0,7.7,8.6,3.62,7.05,157.0,79.72,0.535,0.81,0.968,2
63,Ireland,4.8,77.0,9.74,31.4,5.6,2.77,2.2,9.05,4.9,3.0,99.0,0.8,1.0,0.964,0
64,Israel,4.6,63.0,20.0,39.0,4.3,3.28,1.7,7.84,4.41,134.0,97.1,0.724,1.0,0.964,1
65,Italy,5.1,56.0,13.24,35.9,9.2,2.4,3.6,7.74,5.81,32.0,99.02,0.721,1.0,0.965,1
66,Ivory Coast,3.8,,26.81,41.5,3.3,,8.3,4.11,6.15,108.0,43.27,0.637,0.83,0.979,1
67,Japan,4.2,73.0,11.7,32.9,2.8,2.33,1.5,8.13,4.53,10.0,99.0,0.656,0.98,0.973,1
68,Jersey,,,,,,,,,,,,,,,0
69,Jordan,4.0,47.0,19.52,33.7,16.8,4.72,5.1,3.62,4.71,57.0,98.01,0.638,0.99,0.957,0
70,Kazakhstan,4.4,36.0,7.16,27.8,4.9,3.5,4.3,3.14,4.26,97.0,99.79,0.71,1.0,0.975,1
71,Kenya,4.4,32.0,25.08,40.8,5.0,3.64,8.3,5.05,6.95,120.0,78.02,0.692,0.93,0.975,1
72,Kosovo,,41.0,,,,,,,,,,,,,0
73,Kuwait,5.0,42.0,26.32,,2.2,,3.0,3.8,5.14,39.0,96.12,0.621,1.0,0.968,3
74,Kyrgyzstan,4.1,27.0,2.65,29.7,4.5,4.21,5.0,4.21,5.33,91.0,99.5,0.681,0.99,0.98,1
75,Laos,3.2,31.0,24.14,38.8,9.4,5.77,6.4,1.77,5.51,51.0,79.87,0.75,0.96,0.975,0
76,Latvia,4.9,59.0,6.87,35.1,8.1,2.58,3.6,7.24,3.51,35.0,99.89,0.778,1.0,0.976,0
77,Lebanon,4.7,24.0,15.42,31.8,11.3,,6.7,4.16,6.76,138.0,94.05,0.638,0.96,0.97,1
78,Liberia,3.5,26.0,25.45,35.3,3.1,4.95,9.0,5.32,5.05,75.0,47.6,0.693,0.84,0.962,0
79,Liechtenstein,,,7.53,,2.0,2.32,,,1.88,,100.0,,,,0
80,Lithuania,5.6,62.0,7.38,35.7,8.5,2.32,4.0,7.13,3.31,37.0,99.82,0.804,1.0,0.98,0
81,Luxembourg,5.0,77.0,10.06,35.4,6.8,2.41,1.6,8.68,2.36,,100.0,0.726,1.0,0.965,0
82,Macao,,,,,,3.07,,,,,,,,,1
83,Madagascar,4.4,26.0,22.64,42.6,1.8,4.95,8.8,5.7,5.59,84.0,64.66,0.725,0.98,0.965,1
84,Malaysia,3.8,47.0,26.37,41.1,4.5,4.57,4.0,7.19,5.94,18.0,94.64,0.676,0.99,0.972,1
85,Malta,5.1,21.0,19.63,28.7,4.3,2.85,2.1,7.68,4.65,,94.07,0.703,1.0,0.965,0
86,Martinique,,,,,,2.25,,,,,,,,,0
87,Mexico,4.2,31.0,21.31,45.4,4.5,3.74,6.6,6.07,7.56,137.0,94.55,0.757,1.0,0.975,1
88,Moldova,5.4,39.0,10.89,25.7,3.8,2.89,4.9,5.78,4.45,62.0,99.24,0.768,1.0,0.98,0
89,Monaco,,,13.53,,6.3,,,,2.43,,99.0,,,,0
90,Mongolia,4.2,33.0,1.08,32.7,7.0,4.32,4.9,6.48,4.01,42.0,98.37,0.716,0.99,0.98,1
91,Montenegro,4.8,45.0,9.9,38.5,17.9,3.21,4.1,5.77,6.0,49.0,98.72,0.732,1.0,0.97,0
92,Myanmar,3.7,23.0,23.8,30.7,0.5,4.22,,3.04,7.59,139.0,93.09,0.681,0.98,0.98,0
93,Nepal,3.2,34.0,14.2,32.8,11.4,4.24,7.4,5.22,6.16,73.0,64.66,0.683,0.9,0.965,1
94,Netherlands,4.7,80.0,10.47,28.1,3.8,2.23,1.0,8.96,4.69,21.0,99.0,0.762,1.0,0.962,0
95,New Caledonia,,,22.64,,14.6,,,,,,96.94,,,,0
96,New Zealand,5.4,87.0,10.5,,4.6,2.67,1.2,9.25,3.25,2.0,99.0,0.84,1.0,0.966,0
97,Nigeria,3.9,24.0,27.3,35.1,8.5,4.9,9.1,4.1,7.15,143.0,59.57,0.627,0.81,0.967,3
98,Norway,4.7,84.0,2.17,27.6,4.4,2.22,1.3,9.81,3.81,17.0,100.0,0.849,1.0,0.964,0
99,Pakistan,4.2,27.0,21.01,31.6,4.1,6.8,7.7,4.31,6.28,147.0,56.44,0.556,0.81,0.944,1
100,Peru,4.8,36.0,19.72,41.5,7.4,3.75,7.1,6.53,6.35,101.0,94.37,0.721,0.98,0.964,1
101,Philippines,3.3,33.0,26.17,42.3,2.5,4.23,6.5,6.56,6.84,125.0,96.62,0.784,1.0,0.979,1
102,Poland,5.1,55.0,8.78,30.2,3.2,2.81,3.3,6.85,4.01,25.0,99.79,0.713,1.0,0.98,1
103,Portugal,5.7,62.0,15.84,33.5,6.8,2.66,3.2,7.9,4.55,6.0,95.43,0.775,0.99,0.972,0
104,Puerto Rico,,,24.98,,8.3,2.67,,,,,93.33,,,,0
105,Qatar,5.1,58.0,28.02,,0.1,,2.6,3.24,5.21,23.0,97.76,0.624,0.99,0.948,2
106,Reunion,,,,,,2.64,,,,,,,,,0
107,Romania,5.0,46.0,10.19,35.8,5.0,2.88,5.3,6.4,4.59,31.0,98.76,0.7,1.0,0.98,1
108,Russia,5.5,28.0,-3.76,37.5,5.6,2.58,4.0,3.31,6.24,160.0,99.72,0.708,1.0,0.98,3
109,San Marino,,,12.69,,5.8,,,,3.01,,96.0,,,,0
110,Saudi Arabia,4.5,51.0,25.94,,7.4,,4.1,2.08,6.01,119.0,94.84,0.603,0.98,0.964,4
111,Senegal,3.9,43.0,28.91,40.3,2.9,8.33,7.6,5.67,4.81,70.0,55.62,0.684,0.89,0.967,0
112,Serbia,5.0,36.0,11.4,36.2,9.0,2.88,4.2,6.22,6.21,52.0,98.0,0.78,1.0,0.969,1
113,Singapore,4.6,83.0,27.69,,4.1,3.29,1.2,6.03,3.13,9.0,96.77,0.727,0.99,0.963,0
114,Slovakia,5.1,53.0,8.83,,6.7,2.8,2.9,6.97,4.69,20.0,99.6,0.712,1.0,0.98,0
115,Slovenia,5.1,56.0,9.87,24.6,5.0,2.47,2.7,7.54,4.29,7.0,99.71,0.741,1.0,0.977,0
116,South Africa,4.6,43.0,18.23,63.0,29.2,3.36,6.9,7.05,6.63,118.0,94.6,0.781,0.99,0.979,1
117,South Korea,4.1,63.0,12.14,31.4,3.9,2.53,2.7,8.01,4.91,43.0,97.97,0.687,0.97,0.976,1
118,Spain,5.2,60.0,14.01,34.7,15.5,2.69,3.2,8.12,5.78,29.0,98.11,0.788,1.0,0.965,1
119,Sri Lanka,4.1,36.0,27.25,39.3,4.3,,5.0,6.14,4.64,90.0,92.61,0.67,0.99,0.98,0
120,Sudan,3.6,22.0,27.96,34.2,17.4,5.59,8.9,2.54,6.46,154.0,58.6,,,,1
121,Sweden,4.9,83.0,3.18,30.0,8.3,,1.1,9.26,4.56,26.0,99.0,0.823,1.0,0.962,0
122,Switzerland,5.0,82.0,6.51,33.1,4.8,1.97,1.9,8.83,4.34,11.0,99.0,0.798,0.99,0.964,0
123,Taiwan,,68.0,,,,,,8.94,,30.0,96.1,,,,1
124,Tajikistan,3.8,24.0,3.74,34.0,6.9,5.99,5.0,1.94,5.61,92.0,99.78,0.65,0.94,0.969,1
125,Thailand,4.4,36.0,26.86,34.9,1.1,3.69,3.7,6.04,5.76,103.0,93.98,0.71,0.99,0.978,3
126,Togo,3.9,30.0,27.34,43.1,3.7,4.55,8.2,2.8,5.33,102.0,66.54,0.683,0.78,0.979,1
127,Trinidad and Tobago,5.2,42.0,26.5,40.3,3.2,3.29,,7.16,4.94,88.0,98.97,,,,0
128,Turkey,4.4,36.0,11.67,41.9,13.1,4.07,5.1,4.48,6.89,145.0,95.69,0.638,0.98,0.967,1
129,Turkmenistan,4.2,19.0,16.63,40.8,4.0,,4.4,1.72,4.61,104.0,99.69,,,,1
130,Uganda,4.6,26.0,23.26,42.8,10.1,4.53,8.3,4.94,6.14,121.0,73.81,0.717,0.9,0.98,3
131,Ukraine,6.3,33.0,9.28,26.6,9.5,2.46,4.3,5.81,6.18,153.0,99.76,0.714,1.0,0.978,1
132,United Arab Emirates,5.1,67.0,28.17,26.0,2.2,6.3,,2.7,5.75,60.0,92.99,0.716,0.99,0.963,3
133,United States of America,,69.0,9.45,,,,,,5.5,,,,,,3
134,Uzbekistan,4.2,31.0,13.72,35.3,9.0,5.24,4.3,2.12,4.96,87.0,100.0,,,,1
135,Venezuela,4.2,14.0,25.71,44.8,5.0,4.33,8.6,2.76,6.64,148.0,95.4,0.699,1.0,0.98,0
136,Vietnam,4.0,42.0,24.78,35.7,2.4,,4.0,2.94,6.28,44.0,94.51,0.701,0.98,0.945,1
137,Zambia,4.0,33.0,22.23,57.1,12.5,5.13,7.8,4.86,4.93,56.0,85.12,0.726,0.94,0.98,3
