"country","latestRate","dataYear","pop2023"
"Israel",97.099998,2004,9174520
"Northern Mariana Islands",97,1980,49796
"Montserrat",97,1970,4386
"New Caledonia",96.93782,2015,292991
"Singapore",96.774628,2015,6014723
"Palestine",96.668037,2015,5371230
"Brunei",96.656532,2015,452524
"Chile",96.627548,2015,19629590
"Philippines",96.618027,2015,117337368
"China",96.357452,2015,1425671352
"Kuwait",96.117706,2015,4310108
"Taiwan",96.099998,2003,23923276
"Grenada",96,2003,126183
"San Marino",96,2011,33642
"Bahrain",95.717262,2015,1485509
"Turkey",95.688103,2015,85816199
"Saint Vincent and the Grenadines",95.632156,1970,103698
"Bahamas",95.599998,2003,412623
"Suriname",95.538986,2015,623236
"Paraguay",95.53611,2015,6861524
"Indonesia",95.437683,2015,277534122
"Portugal",95.428108,2015,10247605
"Venezuela",95.399246,2015,28838499
"Seychelles",95.321083,2015,107660
"Greece",95.29287,2015,10341277
"Equatorial Guinea",95.195663,2015,1714671
"Bolivia",95.141922,2015,12388571
"Panama",95.038231,2015,4468087
"Cook Islands",95,2011,17044
"Anguilla",95,1984,15899
"Niue",95,2011,1935
"Saudi Arabia",94.842369,2015,36947025
"Malaysia",94.636993,2015,34308525
"South Africa",94.597939,2015,60414495
"Colombia",94.577057,2015,52085168
"Mexico",94.545593,2015,128455567
"Ecuador",94.515472,2015,18190484
"Vietnam",94.514267,2015,98858950
"Peru",94.374352,2015,34352719
"Malta",94.066612,2015,535064
"Lebanon",94.051102,2015,5353930
"Dominica",94,2003,73040
"Thailand",93.983017,2015,71801279
"Oman",93.971649,2015,4644384
"Fiji",93.699997,2003,936375
"Hong Kong",93.5,2002,7491609
"Puerto Rico",93.329422,2015,3260314
"Myanmar",93.09005,2015,54577997
"United Arab Emirates",92.986366,2015,9516871
"Sri Lanka",92.614166,2015,21893579
"Brazil",92.586807,2015,216422446
"Dominican Republic",92.465424,2015,11332972
"Sao Tome and Principe",91.747108,2015,231856
"Libya",91.38887,2015,6888388
"Namibia",90.820503,2015,2604172
"Mauritius",90.616043,2015,1300557
"Saint Lucia",90.099998,2001,180251
"Micronesia",89,1980,115224
"Jamaica",88.499901,2015,2825544
"Cape Verde",88.465424,2015,598682
"Honduras",88.424583,2015,10593798
"Botswana",88.224411,2015,2675352
"El Salvador",87.648216,2015,6364943
"Guyana",87.535316,2015,813834
"Eswatini",87.470192,2015,1210822
"Iran",87.172531,2015,89172767
"Zimbabwe",86.873482,2015,16665409
"Syria",86.303932,2015,23227014
"Burundi",85.496094,2015,13238559
"Zambia",85.117264,2015,20569737
"Vanuatu",85.058678,2015,334506
"Solomon Islands",84.099998,2011,740424
"Gabon",83.237877,2015,2436566
"Belize",82.776817,2015,410825
"Nicaragua",82.471848,2015,7046310
"Tunisia",81.054192,2015,12458223
"Tanzania",80.359497,2015,67438106
"Gibraltar",80,2011,32688.000000000004
"Laos",79.867462,2015,7633779
"Iraq",79.721764,2015,45504560
"Algeria",79.608398,2015,45606480
"Lesotho",79.360931,2015,2330318
"Guatemala",79.074211,2015,18092026
"Cambodia",78.34594,2015,16944826
"Comoros",78.13739,2015,852075
"Kenya",78.023399,2015,55100586
"DR Congo",77.221672,2015,102262808
"Ghana",76.575897,2015,34121985
"Egypt",75.842621,2015,112716598
"Cameroon",74.98558,2015,28647293
"Eritrea",73.845253,2015,3748901
"Uganda",73.809837,2015,48582334
"India",72.225304,2015,1428627663
"Morocco",71.710548,2015,37840044
"Rwanda",71.2435,2015,14094683
"Angola",71.164162,2015,36684202
"Yemen",69.961952,2015,34449825
